Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,33247,2010,01,01,28.6,1,Y
IDCJAC0010,33247,2010,01,02,29.3,1,Y
IDCJAC0010,33247,2010,01,03,32.5,1,Y
IDCJAC0010,33247,2010,01,04,32.3,1,Y
IDCJAC0010,33247,2010,01,05,28.4,1,Y
IDCJAC0010,33247,2010,01,06,31.8,1,Y
IDCJAC0010,33247,2010,01,07,31.9,1,Y
IDCJAC0010,33247,2010,01,08,28.0,1,Y
IDCJAC0010,33247,2010,01,09,29.5,1,Y
IDCJAC0010,33247,2010,01,10,30.6,1,Y
IDCJAC0010,33247,2010,01,11,31.0,1,Y
IDCJAC0010,33247,2010,01,12,30.4,1,Y
IDCJAC0010,33247,2010,01,13,30.7,1,Y
IDCJAC0010,33247,2010,01,14,31.5,1,Y
IDCJAC0010,33247,2010,01,15,29.5,1,Y
IDCJAC0010,33247,2010,01,16,31.3,1,Y
IDCJAC0010,33247,2010,01,17,31.4,1,Y
IDCJAC0010,33247,2010,01,18,35.3,1,Y
IDCJAC0010,33247,2010,01,19,34.2,1,Y
IDCJAC0010,33247,2010,01,20,32.4,1,Y
IDCJAC0010,33247,2010,01,21,31.6,1,Y
IDCJAC0010,33247,2010,01,22,30.9,1,Y
IDCJAC0010,33247,2010,01,23,31.6,1,Y
IDCJAC0010,33247,2010,01,24,30.0,1,Y
IDCJAC0010,33247,2010,01,25,28.0,1,Y
IDCJAC0010,33247,2010,01,26,29.7,1,Y
IDCJAC0010,33247,2010,01,27,28.8,1,Y
IDCJAC0010,33247,2010,01,28,30.1,1,Y
IDCJAC0010,33247,2010,01,29,29.0,1,Y
IDCJAC0010,33247,2010,01,30,29.6,1,Y
IDCJAC0010,33247,2010,01,31,31.0,1,Y
IDCJAC0010,33247,2010,02,01,32.9,1,Y
IDCJAC0010,33247,2010,02,02,32.6,1,Y
IDCJAC0010,33247,2010,02,03,35.6,1,Y
IDCJAC0010,33247,2010,02,04,,,
IDCJAC0010,33247,2010,02,05,,,
IDCJAC0010,33247,2010,02,06,,,
IDCJAC0010,33247,2010,02,07,31.9,1,Y
IDCJAC0010,33247,2010,02,08,31.7,1,Y
IDCJAC0010,33247,2010,02,09,30.9,1,Y
IDCJAC0010,33247,2010,02,10,30.0,1,Y
IDCJAC0010,33247,2010,02,11,27.4,1,Y
IDCJAC0010,33247,2010,02,12,29.3,1,Y
IDCJAC0010,33247,2010,02,13,30.6,1,Y
IDCJAC0010,33247,2010,02,14,29.9,1,Y
IDCJAC0010,33247,2010,02,15,33.1,1,Y
IDCJAC0010,33247,2010,02,16,30.6,1,Y
IDCJAC0010,33247,2010,02,17,30.9,1,Y
IDCJAC0010,33247,2010,02,18,28.5,1,Y
IDCJAC0010,33247,2010,02,19,31.3,1,Y
IDCJAC0010,33247,2010,02,20,31.1,1,Y
IDCJAC0010,33247,2010,02,21,30.7,1,Y
IDCJAC0010,33247,2010,02,22,31.7,1,Y
IDCJAC0010,33247,2010,02,23,31.4,1,Y
IDCJAC0010,33247,2010,02,24,32.3,1,Y
IDCJAC0010,33247,2010,02,25,31.1,1,Y
IDCJAC0010,33247,2010,02,26,26.4,1,Y
IDCJAC0010,33247,2010,02,27,27.5,1,Y
IDCJAC0010,33247,2010,02,28,29.3,1,Y
IDCJAC0010,33247,2010,03,01,30.2,1,Y
IDCJAC0010,33247,2010,03,02,31.6,1,Y
IDCJAC0010,33247,2010,03,03,33.2,1,Y
IDCJAC0010,33247,2010,03,04,29.9,1,Y
IDCJAC0010,33247,2010,03,05,35.3,1,Y
IDCJAC0010,33247,2010,03,06,33.3,1,Y
IDCJAC0010,33247,2010,03,07,33.2,1,Y
IDCJAC0010,33247,2010,03,08,33.4,1,Y
IDCJAC0010,33247,2010,03,09,31.3,1,Y
IDCJAC0010,33247,2010,03,10,31.5,1,Y
IDCJAC0010,33247,2010,03,11,30.6,1,Y
IDCJAC0010,33247,2010,03,12,30.0,1,Y
IDCJAC0010,33247,2010,03,13,29.1,1,Y
IDCJAC0010,33247,2010,03,14,28.1,1,Y
IDCJAC0010,33247,2010,03,15,27.8,1,Y
IDCJAC0010,33247,2010,03,16,,,
IDCJAC0010,33247,2010,03,17,,,
IDCJAC0010,33247,2010,03,18,,,
IDCJAC0010,33247,2010,03,19,29.2,1,Y
IDCJAC0010,33247,2010,03,20,29.7,1,Y
IDCJAC0010,33247,2010,03,21,28.5,1,Y
IDCJAC0010,33247,2010,03,22,,,
IDCJAC0010,33247,2010,03,23,28.9,1,Y
IDCJAC0010,33247,2010,03,24,28.8,1,Y
IDCJAC0010,33247,2010,03,25,,,
IDCJAC0010,33247,2010,03,26,29.3,1,Y
IDCJAC0010,33247,2010,03,27,29.4,1,Y
IDCJAC0010,33247,2010,03,28,29.4,1,Y
IDCJAC0010,33247,2010,03,29,29.8,1,Y
IDCJAC0010,33247,2010,03,30,29.1,1,Y
IDCJAC0010,33247,2010,03,31,27.8,1,Y
IDCJAC0010,33247,2010,04,01,27.9,1,Y
IDCJAC0010,33247,2010,04,02,29.3,1,Y
IDCJAC0010,33247,2010,04,03,27.6,1,Y
IDCJAC0010,33247,2010,04,04,28.4,1,Y
IDCJAC0010,33247,2010,04,05,27.8,1,Y
IDCJAC0010,33247,2010,04,06,27.1,1,Y
IDCJAC0010,33247,2010,04,07,29.0,1,Y
IDCJAC0010,33247,2010,04,08,29.3,1,Y
IDCJAC0010,33247,2010,04,09,31.3,1,Y
IDCJAC0010,33247,2010,04,10,31.9,1,Y
IDCJAC0010,33247,2010,04,11,33.0,1,Y
IDCJAC0010,33247,2010,04,12,32.0,1,Y
IDCJAC0010,33247,2010,04,13,27.0,1,Y
IDCJAC0010,33247,2010,04,14,28.4,1,Y
IDCJAC0010,33247,2010,04,15,29.0,1,Y
IDCJAC0010,33247,2010,04,16,28.8,1,Y
IDCJAC0010,33247,2010,04,17,26.8,1,Y
IDCJAC0010,33247,2010,04,18,28.6,1,Y
IDCJAC0010,33247,2010,04,19,24.6,1,Y
IDCJAC0010,33247,2010,04,20,29.0,1,Y
IDCJAC0010,33247,2010,04,21,28.2,1,Y
IDCJAC0010,33247,2010,04,22,27.8,1,Y
IDCJAC0010,33247,2010,04,23,28.7,1,Y
IDCJAC0010,33247,2010,04,24,28.9,1,Y
IDCJAC0010,33247,2010,04,25,28.6,1,Y
IDCJAC0010,33247,2010,04,26,29.3,1,Y
IDCJAC0010,33247,2010,04,27,27.0,1,Y
IDCJAC0010,33247,2010,04,28,26.9,1,Y
IDCJAC0010,33247,2010,04,29,28.5,1,Y
IDCJAC0010,33247,2010,04,30,28.8,1,Y
IDCJAC0010,33247,2010,05,01,28.0,1,Y
IDCJAC0010,33247,2010,05,02,28.3,1,Y
IDCJAC0010,33247,2010,05,03,28.3,1,Y
IDCJAC0010,33247,2010,05,04,28.4,1,Y
IDCJAC0010,33247,2010,05,05,28.5,1,Y
IDCJAC0010,33247,2010,05,06,29.9,1,Y
IDCJAC0010,33247,2010,05,07,27.8,1,Y
IDCJAC0010,33247,2010,05,08,27.2,1,Y
IDCJAC0010,33247,2010,05,09,26.0,1,Y
IDCJAC0010,33247,2010,05,10,26.4,1,Y
IDCJAC0010,33247,2010,05,11,27.5,1,Y
IDCJAC0010,33247,2010,05,12,27.9,1,Y
IDCJAC0010,33247,2010,05,13,26.3,1,Y
IDCJAC0010,33247,2010,05,14,,,
IDCJAC0010,33247,2010,05,15,26.6,1,Y
IDCJAC0010,33247,2010,05,16,26.6,1,Y
IDCJAC0010,33247,2010,05,17,21.4,1,Y
IDCJAC0010,33247,2010,05,18,,,
IDCJAC0010,33247,2010,05,19,25.5,1,Y
IDCJAC0010,33247,2010,05,20,25.8,1,Y
IDCJAC0010,33247,2010,05,21,26.1,1,Y
IDCJAC0010,33247,2010,05,22,26.8,1,Y
IDCJAC0010,33247,2010,05,23,27.0,1,Y
IDCJAC0010,33247,2010,05,24,26.8,1,Y
IDCJAC0010,33247,2010,05,25,29.3,1,Y
IDCJAC0010,33247,2010,05,26,29.7,1,Y
IDCJAC0010,33247,2010,05,27,26.2,1,Y
