Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,91126,2010,01,01,24.3,1,Y
IDCJAC0010,91126,2010,01,02,23.0,1,Y
IDCJAC0010,91126,2010,01,03,21.8,1,Y
IDCJAC0010,91126,2010,01,04,20.1,1,Y
IDCJAC0010,91126,2010,01,05,23.7,1,Y
IDCJAC0010,91126,2010,01,06,23.5,1,Y
IDCJAC0010,91126,2010,01,07,20.2,1,Y
IDCJAC0010,91126,2010,01,08,20.8,1,Y
IDCJAC0010,91126,2010,01,09,33.2,1,Y
IDCJAC0010,91126,2010,01,10,21.3,1,Y
IDCJAC0010,91126,2010,01,11,24.3,1,Y
IDCJAC0010,91126,2010,01,12,27.1,1,Y
IDCJAC0010,91126,2010,01,13,23.1,1,Y
IDCJAC0010,91126,2010,01,14,20.0,1,Y
IDCJAC0010,91126,2010,01,15,20.6,1,Y
IDCJAC0010,91126,2010,01,16,24.9,1,Y
IDCJAC0010,91126,2010,01,17,21.2,1,Y
IDCJAC0010,91126,2010,01,18,22.0,1,Y
IDCJAC0010,91126,2010,01,19,23.9,1,Y
IDCJAC0010,91126,2010,01,20,22.9,1,Y
IDCJAC0010,91126,2010,01,21,20.9,1,Y
IDCJAC0010,91126,2010,01,22,22.0,1,Y
IDCJAC0010,91126,2010,01,23,24.4,1,Y
IDCJAC0010,91126,2010,01,24,20.1,1,Y
IDCJAC0010,91126,2010,01,25,20.9,1,Y
IDCJAC0010,91126,2010,01,26,26.9,1,Y
IDCJAC0010,91126,2010,01,27,21.7,1,Y
IDCJAC0010,91126,2010,01,28,21.5,1,Y
IDCJAC0010,91126,2010,01,29,26.5,1,Y
IDCJAC0010,91126,2010,01,30,22.9,1,Y
IDCJAC0010,91126,2010,01,31,25.2,1,Y
IDCJAC0010,91126,2010,02,01,22.9,1,Y
IDCJAC0010,91126,2010,02,02,26.5,1,Y
IDCJAC0010,91126,2010,02,03,24.2,1,Y
IDCJAC0010,91126,2010,02,04,25.4,1,Y
IDCJAC0010,91126,2010,02,05,24.9,1,Y
IDCJAC0010,91126,2010,02,06,22.7,1,Y
IDCJAC0010,91126,2010,02,07,21.8,1,Y
IDCJAC0010,91126,2010,02,08,22.8,1,Y
IDCJAC0010,91126,2010,02,09,25.9,1,Y
IDCJAC0010,91126,2010,02,10,23.6,1,Y
IDCJAC0010,91126,2010,02,11,21.7,1,Y
IDCJAC0010,91126,2010,02,12,22.4,1,Y
IDCJAC0010,91126,2010,02,13,22.5,1,Y
IDCJAC0010,91126,2010,02,14,21.6,1,Y
IDCJAC0010,91126,2010,02,15,21.9,1,Y
IDCJAC0010,91126,2010,02,16,21.8,1,Y
IDCJAC0010,91126,2010,02,17,26.3,1,Y
IDCJAC0010,91126,2010,02,18,21.6,1,Y
IDCJAC0010,91126,2010,02,19,23.5,1,Y
IDCJAC0010,91126,2010,02,20,24.4,1,Y
IDCJAC0010,91126,2010,02,21,24.9,1,Y
IDCJAC0010,91126,2010,02,22,19.2,1,Y
IDCJAC0010,91126,2010,02,23,23.9,1,Y
IDCJAC0010,91126,2010,02,24,21.0,1,Y
IDCJAC0010,91126,2010,02,25,21.7,1,Y
IDCJAC0010,91126,2010,02,26,23.2,1,Y
IDCJAC0010,91126,2010,02,27,23.3,1,Y
IDCJAC0010,91126,2010,02,28,21.0,1,Y
IDCJAC0010,91126,2010,03,01,17.9,1,Y
IDCJAC0010,91126,2010,03,02,22.1,1,Y
IDCJAC0010,91126,2010,03,03,22.4,1,Y
IDCJAC0010,91126,2010,03,04,22.2,1,Y
IDCJAC0010,91126,2010,03,05,25.7,1,Y
IDCJAC0010,91126,2010,03,06,23.6,1,Y
IDCJAC0010,91126,2010,03,07,23.9,1,Y
