Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,33195,2010,04,12,0.0,1,N
IDCJAC0009,33195,2010,04,13,45.4,1,N
IDCJAC0009,33195,2010,04,14,0.2,1,N
IDCJAC0009,33195,2010,04,15,0.0,1,N
IDCJAC0009,33195,2010,04,16,0.2,1,N
IDCJAC0009,33195,2010,04,17,0.0,1,N
IDCJAC0009,33195,2010,04,18,1.2,1,N
IDCJAC0009,33195,2010,04,19,0.4,1,N
IDCJAC0009,33195,2010,04,20,0.2,1,N
IDCJAC0009,33195,2010,04,21,0.2,1,N
IDCJAC0009,33195,2010,04,22,0.2,1,N
IDCJAC0009,33195,2010,04,23,0.6,1,N
IDCJAC0009,33195,2010,04,24,,,
IDCJAC0009,33195,2010,04,25,0.0,1,N
IDCJAC0009,33195,2010,04,26,0.0,1,N
IDCJAC0009,33195,2010,04,27,0.0,1,N
IDCJAC0009,33195,2010,04,28,0.0,1,N
IDCJAC0009,33195,2010,04,29,0.0,1,N
IDCJAC0009,33195,2010,04,30,0.0,1,N
IDCJAC0009,33195,2010,05,01,0.0,1,N
IDCJAC0009,33195,2010,05,02,0.0,1,N
IDCJAC0009,33195,2010,05,03,0.2,1,N
IDCJAC0009,33195,2010,05,04,8.8,1,N
IDCJAC0009,33195,2010,05,05,0.0,1,N
IDCJAC0009,33195,2010,05,06,0.0,1,N
IDCJAC0009,33195,2010,05,07,0.0,1,N
IDCJAC0009,33195,2010,05,08,0.0,1,N
IDCJAC0009,33195,2010,05,09,3.2,1,N
IDCJAC0009,33195,2010,05,10,0.0,1,N
IDCJAC0009,33195,2010,05,11,0.6,1,N
IDCJAC0009,33195,2010,05,12,0.2,1,N
IDCJAC0009,33195,2010,05,13,0.2,1,N
IDCJAC0009,33195,2010,05,14,0.0,1,N
IDCJAC0009,33195,2010,05,15,0.0,1,N
IDCJAC0009,33195,2010,05,16,0.0,1,N
IDCJAC0009,33195,2010,05,17,4.0,1,N
IDCJAC0009,33195,2010,05,18,1.6,1,N
IDCJAC0009,33195,2010,05,19,0.0,1,N
