Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,79103,2010,01,01,9.4,1,N
IDCJAC0009,79103,2010,01,02,0.8,1,N
IDCJAC0009,79103,2010,01,03,0.0,1,N
IDCJAC0009,79103,2010,01,04,0.0,1,N
IDCJAC0009,79103,2010,01,05,0.0,1,N
IDCJAC0009,79103,2010,01,06,0.0,1,N
IDCJAC0009,79103,2010,01,07,0.0,1,N
IDCJAC0009,79103,2010,01,08,0.0,1,N
IDCJAC0009,79103,2010,01,09,0.0,1,N
IDCJAC0009,79103,2010,01,10,0.0,1,N
IDCJAC0009,79103,2010,01,11,0.0,1,N
IDCJAC0009,79103,2010,01,12,0.0,1,N
IDCJAC0009,79103,2010,01,13,7.8,1,N
IDCJAC0009,79103,2010,01,14,2.0,1,N
IDCJAC0009,79103,2010,01,15,0.2,1,N
IDCJAC0009,79103,2010,01,16,0.0,1,N
IDCJAC0009,79103,2010,01,17,0.2,1,N
IDCJAC0009,79103,2010,01,18,1.8,1,N
IDCJAC0009,79103,2010,01,19,0.6,1,N
IDCJAC0009,79103,2010,01,20,0.0,1,N
IDCJAC0009,79103,2010,01,21,0.0,1,N
IDCJAC0009,79103,2010,01,22,0.2,1,N
IDCJAC0009,79103,2010,01,23,0.0,1,N
IDCJAC0009,79103,2010,01,24,0.0,1,N
IDCJAC0009,79103,2010,01,25,0.0,1,N
IDCJAC0009,79103,2010,01,26,0.0,1,N
IDCJAC0009,79103,2010,01,27,0.0,1,N
IDCJAC0009,79103,2010,01,28,0.2,1,N
IDCJAC0009,79103,2010,01,29,0.0,1,N
IDCJAC0009,79103,2010,01,30,0.0,1,N
IDCJAC0009,79103,2010,01,31,0.0,1,N
IDCJAC0009,79103,2010,02,01,0.0,1,N
IDCJAC0009,79103,2010,02,02,0.2,1,N
IDCJAC0009,79103,2010,02,03,0.0,1,N
IDCJAC0009,79103,2010,02,04,10.2,1,N
IDCJAC0009,79103,2010,02,05,40.8,1,N
IDCJAC0009,79103,2010,02,06,0.2,1,N
IDCJAC0009,79103,2010,02,07,0.2,1,N
IDCJAC0009,79103,2010,02,08,0.0,1,N
IDCJAC0009,79103,2010,02,09,0.0,1,N
IDCJAC0009,79103,2010,02,10,0.4,1,N
IDCJAC0009,79103,2010,02,11,8.4,1,N
IDCJAC0009,79103,2010,02,12,5.8,1,N
IDCJAC0009,79103,2010,02,13,0.4,1,N
IDCJAC0009,79103,2010,02,14,0.0,1,N
IDCJAC0009,79103,2010,02,15,7.6,1,N
IDCJAC0009,79103,2010,02,16,0.2,1,N
IDCJAC0009,79103,2010,02,17,0.0,1,N
IDCJAC0009,79103,2010,02,18,0.0,1,N
IDCJAC0009,79103,2010,02,19,0.0,1,N
IDCJAC0009,79103,2010,02,20,0.0,1,N
IDCJAC0009,79103,2010,02,21,0.0,1,N
IDCJAC0009,79103,2010,02,22,0.0,1,N
IDCJAC0009,79103,2010,02,23,3.2,1,N
IDCJAC0009,79103,2010,02,24,0.0,1,N
IDCJAC0009,79103,2010,02,25,0.2,1,N
IDCJAC0009,79103,2010,02,26,0.0,1,N
