Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,9741,2010,01,01,21.9,1,Y
IDCJAC0010,9741,2010,01,02,23.3,1,Y
IDCJAC0010,9741,2010,01,03,27.8,1,Y
IDCJAC0010,9741,2010,01,04,20.3,1,Y
IDCJAC0010,9741,2010,01,05,24.5,1,Y
IDCJAC0010,9741,2010,01,06,37.9,1,Y
IDCJAC0010,9741,2010,01,07,21.6,1,Y
IDCJAC0010,9741,2010,01,08,25.3,1,Y
IDCJAC0010,9741,2010,01,09,35.7,1,Y
IDCJAC0010,9741,2010,01,10,21.7,1,Y
IDCJAC0010,9741,2010,01,11,22.0,1,Y
IDCJAC0010,9741,2010,01,12,21.9,1,Y
IDCJAC0010,9741,2010,01,13,26.7,1,Y
IDCJAC0010,9741,2010,01,14,25.1,1,Y
IDCJAC0010,9741,2010,01,15,20.9,1,Y
IDCJAC0010,9741,2010,01,16,24.3,1,Y
IDCJAC0010,9741,2010,01,17,34.8,1,Y
IDCJAC0010,9741,2010,01,18,40.7,1,Y
IDCJAC0010,9741,2010,01,19,23.9,1,Y
IDCJAC0010,9741,2010,01,20,18.1,1,Y
IDCJAC0010,9741,2010,01,21,20.7,1,Y
IDCJAC0010,9741,2010,01,22,22.4,1,Y
IDCJAC0010,9741,2010,01,23,25.2,1,Y
IDCJAC0010,9741,2010,01,24,22.8,1,Y
IDCJAC0010,9741,2010,01,25,19.5,1,Y
IDCJAC0010,9741,2010,01,26,20.5,1,Y
IDCJAC0010,9741,2010,01,27,23.3,1,Y
IDCJAC0010,9741,2010,01,28,22.8,1,Y
IDCJAC0010,9741,2010,01,29,28.5,1,Y
IDCJAC0010,9741,2010,01,30,22.3,1,Y
IDCJAC0010,9741,2010,01,31,21.2,1,Y
IDCJAC0010,9741,2010,02,01,28.5,1,Y
IDCJAC0010,9741,2010,02,02,19.5,1,Y
IDCJAC0010,9741,2010,02,03,19.5,1,Y
IDCJAC0010,9741,2010,02,04,21.2,1,Y
IDCJAC0010,9741,2010,02,05,29.3,1,Y
IDCJAC0010,9741,2010,02,06,25.1,1,Y
IDCJAC0010,9741,2010,02,07,24.6,1,Y
IDCJAC0010,9741,2010,02,08,30.2,1,Y
IDCJAC0010,9741,2010,02,09,34.0,1,Y
IDCJAC0010,9741,2010,02,10,26.5,1,Y
IDCJAC0010,9741,2010,02,11,23.5,1,Y
IDCJAC0010,9741,2010,02,12,24.8,1,Y
IDCJAC0010,9741,2010,02,13,24.8,1,Y
IDCJAC0010,9741,2010,02,14,29.5,1,Y
IDCJAC0010,9741,2010,02,15,27.7,1,Y
IDCJAC0010,9741,2010,02,16,21.3,1,Y
IDCJAC0010,9741,2010,02,17,22.8,1,Y
IDCJAC0010,9741,2010,02,18,27.6,1,Y
IDCJAC0010,9741,2010,02,19,22.4,1,Y
IDCJAC0010,9741,2010,02,20,20.6,1,Y
IDCJAC0010,9741,2010,02,21,23.1,1,Y
IDCJAC0010,9741,2010,02,22,24.6,1,Y
IDCJAC0010,9741,2010,02,23,25.8,1,Y
IDCJAC0010,9741,2010,02,24,28.1,1,Y
IDCJAC0010,9741,2010,02,25,26.8,1,Y
IDCJAC0010,9741,2010,02,26,25.3,1,Y
IDCJAC0010,9741,2010,02,27,26.5,1,Y
IDCJAC0010,9741,2010,02,28,28.4,1,Y
IDCJAC0010,9741,2010,03,01,31.5,1,Y
IDCJAC0010,9741,2010,03,02,32.6,1,Y
IDCJAC0010,9741,2010,03,03,22.3,1,Y
IDCJAC0010,9741,2010,03,04,20.1,1,Y
IDCJAC0010,9741,2010,03,05,19.8,1,Y
IDCJAC0010,9741,2010,03,06,23.5,1,Y
