Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,91259,2010,01,01,22.9,1,Y
IDCJAC0010,91259,2010,01,02,16.0,1,Y
IDCJAC0010,91259,2010,01,03,14.7,1,Y
IDCJAC0010,91259,2010,01,04,17.6,1,Y
IDCJAC0010,91259,2010,01,05,20.0,1,Y
IDCJAC0010,91259,2010,01,06,18.0,1,Y
IDCJAC0010,91259,2010,01,07,23.9,1,Y
IDCJAC0010,91259,2010,01,08,24.7,1,Y
IDCJAC0010,91259,2010,01,09,24.7,1,Y
IDCJAC0010,91259,2010,01,10,25.1,1,Y
IDCJAC0010,91259,2010,01,11,25.5,1,Y
IDCJAC0010,91259,2010,01,12,21.4,1,Y
IDCJAC0010,91259,2010,01,13,16.5,1,Y
IDCJAC0010,91259,2010,01,14,21.3,1,Y
IDCJAC0010,91259,2010,01,15,22.6,1,Y
IDCJAC0010,91259,2010,01,16,23.0,1,Y
IDCJAC0010,91259,2010,01,17,14.6,1,Y
IDCJAC0010,91259,2010,01,18,15.5,1,Y
IDCJAC0010,91259,2010,01,19,17.1,1,Y
IDCJAC0010,91259,2010,01,20,15.2,1,Y
IDCJAC0010,91259,2010,01,21,19.3,1,Y
IDCJAC0010,91259,2010,01,22,22.6,1,Y
IDCJAC0010,91259,2010,01,23,17.5,1,Y
IDCJAC0010,91259,2010,01,24,21.6,1,Y
IDCJAC0010,91259,2010,01,25,25.7,1,Y
IDCJAC0010,91259,2010,01,26,17.7,1,Y
IDCJAC0010,91259,2010,01,27,21.5,1,Y
IDCJAC0010,91259,2010,01,28,24.1,1,Y
IDCJAC0010,91259,2010,01,29,20.0,1,Y
IDCJAC0010,91259,2010,01,30,22.7,1,Y
IDCJAC0010,91259,2010,01,31,29.7,1,Y
IDCJAC0010,91259,2010,02,01,23.0,1,Y
IDCJAC0010,91259,2010,02,02,25.5,1,Y
IDCJAC0010,91259,2010,02,03,21.8,1,Y
IDCJAC0010,91259,2010,02,04,20.6,1,Y
IDCJAC0010,91259,2010,02,05,19.1,1,Y
IDCJAC0010,91259,2010,02,06,25.1,1,Y
IDCJAC0010,91259,2010,02,07,23.0,1,Y
IDCJAC0010,91259,2010,02,08,29.1,1,Y
IDCJAC0010,91259,2010,02,09,30.0,1,Y
IDCJAC0010,91259,2010,02,10,29.7,1,Y
IDCJAC0010,91259,2010,02,11,19.4,1,Y
IDCJAC0010,91259,2010,02,12,21.5,1,Y
IDCJAC0010,91259,2010,02,13,23.2,1,Y
IDCJAC0010,91259,2010,02,14,18.1,1,Y
IDCJAC0010,91259,2010,02,15,23.6,1,Y
IDCJAC0010,91259,2010,02,16,25.4,1,Y
IDCJAC0010,91259,2010,02,17,22.7,1,Y
IDCJAC0010,91259,2010,02,18,25.7,1,Y
IDCJAC0010,91259,2010,02,19,25.6,1,Y
IDCJAC0010,91259,2010,02,20,28.9,1,Y
IDCJAC0010,91259,2010,02,21,21.6,1,Y
IDCJAC0010,91259,2010,02,22,16.3,1,Y
IDCJAC0010,91259,2010,02,23,18.6,1,Y
IDCJAC0010,91259,2010,02,24,19.8,1,Y
IDCJAC0010,91259,2010,02,25,26.8,1,Y
IDCJAC0010,91259,2010,02,26,27.6,1,Y
IDCJAC0010,91259,2010,02,27,20.7,1,Y
IDCJAC0010,91259,2010,02,28,15.3,1,Y
IDCJAC0010,91259,2010,03,01,18.0,1,Y
IDCJAC0010,91259,2010,03,02,20.8,1,Y
IDCJAC0010,91259,2010,03,03,29.4,1,Y
IDCJAC0010,91259,2010,03,04,28.7,1,Y
IDCJAC0010,91259,2010,03,05,23.6,1,Y
IDCJAC0010,91259,2010,03,06,23.8,1,Y
IDCJAC0010,91259,2010,03,07,21.3,1,Y
IDCJAC0010,91259,2010,03,08,23.1,1,Y
IDCJAC0010,91259,2010,03,09,13.7,1,Y
IDCJAC0010,91259,2010,03,10,15.5,1,Y
IDCJAC0010,91259,2010,03,11,20.8,1,Y
IDCJAC0010,91259,2010,03,12,22.3,1,Y
IDCJAC0010,91259,2010,03,13,22.6,1,Y
IDCJAC0010,91259,2010,03,14,23.9,1,Y
IDCJAC0010,91259,2010,03,15,25.6,1,Y
IDCJAC0010,91259,2010,03,16,28.7,1,Y
IDCJAC0010,91259,2010,03,17,24.6,1,Y
IDCJAC0010,91259,2010,03,18,22.9,1,Y
IDCJAC0010,91259,2010,03,19,17.8,1,Y
IDCJAC0010,91259,2010,03,20,16.1,1,Y
IDCJAC0010,91259,2010,03,21,14.6,1,Y
