Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,15603,2010,01,01,41.0,1,Y
IDCJAC0010,15603,2010,01,02,31.6,1,Y
IDCJAC0010,15603,2010,01,03,32.5,1,Y
IDCJAC0010,15603,2010,01,04,34.0,1,Y
IDCJAC0010,15603,2010,01,05,33.4,1,Y
IDCJAC0010,15603,2010,01,06,32.2,1,Y
IDCJAC0010,15603,2010,01,07,27.4,1,Y
IDCJAC0010,15603,2010,01,08,26.4,1,Y
IDCJAC0010,15603,2010,01,09,32.5,1,Y
IDCJAC0010,15603,2010,01,10,36.0,1,Y
IDCJAC0010,15603,2010,01,11,,,
IDCJAC0010,15603,2010,01,12,37.4,2,Y
IDCJAC0010,15603,2010,01,13,29.0,1,Y
IDCJAC0010,15603,2010,01,14,34.4,1,Y
IDCJAC0010,15603,2010,01,15,37.3,1,Y
IDCJAC0010,15603,2010,01,16,38.3,1,Y
IDCJAC0010,15603,2010,01,17,31.7,1,Y
IDCJAC0010,15603,2010,01,18,31.7,1,Y
IDCJAC0010,15603,2010,01,19,34.7,1,Y
IDCJAC0010,15603,2010,01,20,36.2,1,Y
IDCJAC0010,15603,2010,01,21,40.0,1,Y
IDCJAC0010,15603,2010,01,22,42.2,1,Y
IDCJAC0010,15603,2010,01,23,38.4,1,Y
IDCJAC0010,15603,2010,01,24,40.5,1,Y
IDCJAC0010,15603,2010,01,25,41.3,1,Y
IDCJAC0010,15603,2010,01,26,42.3,1,Y
IDCJAC0010,15603,2010,01,27,43.0,1,Y
IDCJAC0010,15603,2010,01,28,,,
IDCJAC0010,15603,2010,01,29,41.8,2,Y
IDCJAC0010,15603,2010,01,30,37.5,1,Y
IDCJAC0010,15603,2010,01,31,39.2,1,Y
IDCJAC0010,15603,2010,02,01,37.2,1,Y
IDCJAC0010,15603,2010,02,02,,,
IDCJAC0010,15603,2010,02,03,37.7,2,Y
IDCJAC0010,15603,2010,02,04,36.8,1,Y
IDCJAC0010,15603,2010,02,05,,,
IDCJAC0010,15603,2010,02,06,35.8,2,Y
IDCJAC0010,15603,2010,02,07,37.8,1,Y
IDCJAC0010,15603,2010,02,08,37.5,1,Y
IDCJAC0010,15603,2010,02,09,38.4,1,Y
IDCJAC0010,15603,2010,02,10,37.2,1,Y
IDCJAC0010,15603,2010,02,11,38.3,1,Y
IDCJAC0010,15603,2010,02,12,33.0,1,Y
IDCJAC0010,15603,2010,02,13,33.4,1,Y
IDCJAC0010,15603,2010,02,14,35.2,1,Y
IDCJAC0010,15603,2010,02,15,36.0,1,Y
IDCJAC0010,15603,2010,02,16,37.2,1,Y
IDCJAC0010,15603,2010,02,17,36.5,1,Y
IDCJAC0010,15603,2010,02,18,,,
IDCJAC0010,15603,2010,02,19,36.4,2,Y
IDCJAC0010,15603,2010,02,20,37.5,1,Y
IDCJAC0010,15603,2010,02,21,39.7,1,Y
IDCJAC0010,15603,2010,02,22,36.3,1,Y
IDCJAC0010,15603,2010,02,23,33.2,1,Y
IDCJAC0010,15603,2010,02,24,32.6,1,Y
IDCJAC0010,15603,2010,02,25,31.8,1,Y
IDCJAC0010,15603,2010,02,26,25.5,1,Y
IDCJAC0010,15603,2010,02,27,22.9,1,Y
IDCJAC0010,15603,2010,02,28,22.0,1,Y
IDCJAC0010,15603,2010,03,01,25.0,1,Y
IDCJAC0010,15603,2010,03,02,27.7,1,Y
IDCJAC0010,15603,2010,03,03,30.8,1,Y
IDCJAC0010,15603,2010,03,04,34.2,1,Y
IDCJAC0010,15603,2010,03,05,36.0,1,Y
IDCJAC0010,15603,2010,03,06,27.7,1,Y
IDCJAC0010,15603,2010,03,07,27.0,1,Y
IDCJAC0010,15603,2010,03,08,28.8,1,Y
IDCJAC0010,15603,2010,03,09,28.9,1,Y
