Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,10286,2010,01,01,33.1,1,Y
IDCJAC0010,10286,2010,01,02,36.5,1,Y
IDCJAC0010,10286,2010,01,03,40.1,1,Y
IDCJAC0010,10286,2010,01,04,38.6,1,Y
IDCJAC0010,10286,2010,01,05,41.8,1,Y
IDCJAC0010,10286,2010,01,06,43.5,1,Y
IDCJAC0010,10286,2010,01,07,37.2,1,Y
IDCJAC0010,10286,2010,01,08,38.5,1,Y
IDCJAC0010,10286,2010,01,09,43.9,1,Y
IDCJAC0010,10286,2010,01,10,34.3,1,Y
IDCJAC0010,10286,2010,01,11,29.4,1,Y
IDCJAC0010,10286,2010,01,12,31.4,1,Y
IDCJAC0010,10286,2010,01,13,38.0,1,Y
IDCJAC0010,10286,2010,01,14,42.3,1,Y
IDCJAC0010,10286,2010,01,15,34.2,1,Y
IDCJAC0010,10286,2010,01,16,35.9,1,Y
IDCJAC0010,10286,2010,01,17,40.9,1,Y
IDCJAC0010,10286,2010,01,18,44.3,1,Y
IDCJAC0010,10286,2010,01,19,46.0,1,Y
IDCJAC0010,10286,2010,01,20,35.0,1,Y
IDCJAC0010,10286,2010,01,21,29.9,1,Y
IDCJAC0010,10286,2010,01,22,32.4,1,Y
IDCJAC0010,10286,2010,01,23,39.9,1,Y
IDCJAC0010,10286,2010,01,24,40.7,1,Y
IDCJAC0010,10286,2010,01,25,34.4,1,Y
IDCJAC0010,10286,2010,01,26,35.7,1,Y
IDCJAC0010,10286,2010,01,27,36.5,1,Y
IDCJAC0010,10286,2010,01,28,36.2,1,Y
IDCJAC0010,10286,2010,01,29,40.2,1,Y
IDCJAC0010,10286,2010,01,30,38.9,1,Y
IDCJAC0010,10286,2010,01,31,31.4,1,Y
IDCJAC0010,10286,2010,02,01,39.1,1,Y
IDCJAC0010,10286,2010,02,02,33.6,1,Y
IDCJAC0010,10286,2010,02,03,27.4,1,Y
IDCJAC0010,10286,2010,02,04,28.5,1,Y
IDCJAC0010,10286,2010,02,05,38.1,1,Y
IDCJAC0010,10286,2010,02,06,31.8,1,Y
IDCJAC0010,10286,2010,02,07,30.8,1,Y
IDCJAC0010,10286,2010,02,08,38.5,1,Y
IDCJAC0010,10286,2010,02,09,42.5,1,Y
IDCJAC0010,10286,2010,02,10,36.2,1,Y
IDCJAC0010,10286,2010,02,11,37.3,1,Y
IDCJAC0010,10286,2010,02,12,36.8,1,Y
IDCJAC0010,10286,2010,02,13,34.3,1,Y
IDCJAC0010,10286,2010,02,14,39.0,1,Y
IDCJAC0010,10286,2010,02,15,43.5,1,Y
IDCJAC0010,10286,2010,02,16,33.6,1,Y
IDCJAC0010,10286,2010,02,17,36.5,1,Y
IDCJAC0010,10286,2010,02,18,42.9,1,Y
IDCJAC0010,10286,2010,02,19,38.9,1,Y
IDCJAC0010,10286,2010,02,20,34.6,1,Y
IDCJAC0010,10286,2010,02,21,32.2,1,Y
IDCJAC0010,10286,2010,02,22,34.5,1,Y
IDCJAC0010,10286,2010,02,23,37.1,1,Y
IDCJAC0010,10286,2010,02,24,38.1,1,Y
IDCJAC0010,10286,2010,02,25,40.4,1,Y
IDCJAC0010,10286,2010,02,26,41.6,1,Y
IDCJAC0010,10286,2010,02,27,37.1,1,Y
IDCJAC0010,10286,2010,02,28,34.9,1,Y
IDCJAC0010,10286,2010,03,01,37.6,1,Y
IDCJAC0010,10286,2010,03,02,40.8,1,Y
IDCJAC0010,10286,2010,03,03,37.5,1,Y
IDCJAC0010,10286,2010,03,04,29.1,1,Y
IDCJAC0010,10286,2010,03,05,26.0,1,Y
IDCJAC0010,10286,2010,03,06,27.6,1,Y
IDCJAC0010,10286,2010,03,07,30.6,1,Y
IDCJAC0010,10286,2010,03,08,30.3,1,Y
IDCJAC0010,10286,2010,03,09,31.4,1,Y
IDCJAC0010,10286,2010,03,10,32.6,1,Y
IDCJAC0010,10286,2010,03,11,36.6,1,Y
IDCJAC0010,10286,2010,03,12,39.9,1,Y
IDCJAC0010,10286,2010,03,13,37.4,1,Y
IDCJAC0010,10286,2010,03,14,37.1,1,Y
IDCJAC0010,10286,2010,03,15,32.8,1,Y
IDCJAC0010,10286,2010,03,16,25.6,1,Y
IDCJAC0010,10286,2010,03,17,28.8,1,Y
IDCJAC0010,10286,2010,03,18,35.0,1,Y
IDCJAC0010,10286,2010,03,19,30.9,1,Y
IDCJAC0010,10286,2010,03,20,30.5,1,Y
IDCJAC0010,10286,2010,03,21,32.4,1,Y
IDCJAC0010,10286,2010,03,22,34.8,1,Y
IDCJAC0010,10286,2010,03,23,32.8,1,Y
IDCJAC0010,10286,2010,03,24,31.6,1,Y
IDCJAC0010,10286,2010,03,25,28.6,1,Y
IDCJAC0010,10286,2010,03,26,29.1,1,Y
IDCJAC0010,10286,2010,03,27,28.9,1,Y
IDCJAC0010,10286,2010,03,28,25.2,1,Y
IDCJAC0010,10286,2010,03,29,28.1,1,Y
IDCJAC0010,10286,2010,03,30,32.3,1,Y
IDCJAC0010,10286,2010,03,31,29.6,1,Y
IDCJAC0010,10286,2010,04,01,31.3,1,Y
IDCJAC0010,10286,2010,04,02,32.7,1,Y
IDCJAC0010,10286,2010,04,03,26.3,1,Y
IDCJAC0010,10286,2010,04,04,25.4,1,Y
IDCJAC0010,10286,2010,04,05,25.1,1,Y
IDCJAC0010,10286,2010,04,06,27.5,1,Y
IDCJAC0010,10286,2010,04,07,29.2,1,Y
IDCJAC0010,10286,2010,04,08,29.8,1,Y
IDCJAC0010,10286,2010,04,09,25.6,1,Y
IDCJAC0010,10286,2010,04,10,23.5,1,Y
IDCJAC0010,10286,2010,04,11,30.3,1,Y
IDCJAC0010,10286,2010,04,12,25.7,1,Y
IDCJAC0010,10286,2010,04,13,25.7,1,Y
IDCJAC0010,10286,2010,04,14,25.9,1,Y
IDCJAC0010,10286,2010,04,15,26.0,1,Y
IDCJAC0010,10286,2010,04,16,24.6,1,Y
IDCJAC0010,10286,2010,04,17,27.9,1,Y
IDCJAC0010,10286,2010,04,18,33.7,1,Y
IDCJAC0010,10286,2010,04,19,33.3,1,Y
IDCJAC0010,10286,2010,04,20,29.8,1,Y
IDCJAC0010,10286,2010,04,21,27.3,1,Y
IDCJAC0010,10286,2010,04,22,22.5,1,Y
IDCJAC0010,10286,2010,04,23,23.2,1,Y
IDCJAC0010,10286,2010,04,24,23.9,1,Y
IDCJAC0010,10286,2010,04,25,27.8,1,Y
IDCJAC0010,10286,2010,04,26,23.9,1,Y
IDCJAC0010,10286,2010,04,27,25.1,1,Y
IDCJAC0010,10286,2010,04,28,29.2,1,Y
IDCJAC0010,10286,2010,04,29,32.7,1,Y
IDCJAC0010,10286,2010,04,30,25.9,1,Y
IDCJAC0010,10286,2010,05,01,23.6,1,Y
IDCJAC0010,10286,2010,05,02,24.2,1,Y
IDCJAC0010,10286,2010,05,03,24.1,1,Y
IDCJAC0010,10286,2010,05,04,20.6,1,Y
IDCJAC0010,10286,2010,05,05,24.3,1,Y
IDCJAC0010,10286,2010,05,06,27.1,1,Y
IDCJAC0010,10286,2010,05,07,29.2,1,Y
IDCJAC0010,10286,2010,05,08,30.6,1,Y
IDCJAC0010,10286,2010,05,09,22.8,1,Y
IDCJAC0010,10286,2010,05,10,18.7,1,Y
IDCJAC0010,10286,2010,05,11,21.9,1,Y
IDCJAC0010,10286,2010,05,12,27.4,1,Y
IDCJAC0010,10286,2010,05,13,13.8,1,Y
IDCJAC0010,10286,2010,05,14,16.7,1,Y
IDCJAC0010,10286,2010,05,15,16.0,1,Y
IDCJAC0010,10286,2010,05,16,19.0,1,Y
IDCJAC0010,10286,2010,05,17,22.3,1,Y
IDCJAC0010,10286,2010,05,18,25.3,1,Y
IDCJAC0010,10286,2010,05,19,24.6,1,Y
IDCJAC0010,10286,2010,05,20,26.9,1,Y
IDCJAC0010,10286,2010,05,21,22.2,1,Y
IDCJAC0010,10286,2010,05,22,19.4,1,Y
IDCJAC0010,10286,2010,05,23,17.1,1,Y
IDCJAC0010,10286,2010,05,24,16.9,1,Y
IDCJAC0010,10286,2010,05,25,17.9,1,Y
IDCJAC0010,10286,2010,05,26,20.8,1,Y
IDCJAC0010,10286,2010,05,27,17.7,1,Y
IDCJAC0010,10286,2010,05,28,19.4,1,Y
IDCJAC0010,10286,2010,05,29,20.0,1,Y
IDCJAC0010,10286,2010,05,30,22.6,1,Y
