Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,62100,2010,01,01,7.6,1,N
IDCJAC0009,62100,2010,01,02,31.2,1,N
IDCJAC0009,62100,2010,01,03,3.4,1,N
IDCJAC0009,62100,2010,01,04,0.4,1,N
IDCJAC0009,62100,2010,01,05,0.0,1,N
IDCJAC0009,62100,2010,01,06,4.8,1,N
IDCJAC0009,62100,2010,01,07,28.2,1,N
IDCJAC0009,62100,2010,01,08,0.0,1,N
IDCJAC0009,62100,2010,01,09,0.0,1,N
IDCJAC0009,62100,2010,01,10,0.0,1,N
IDCJAC0009,62100,2010,01,11,11.4,1,N
IDCJAC0009,62100,2010,01,12,0.0,1,N
IDCJAC0009,62100,2010,01,13,0.0,1,N
IDCJAC0009,62100,2010,01,14,17.0,1,N
IDCJAC0009,62100,2010,01,15,0.2,1,N
IDCJAC0009,62100,2010,01,16,0.0,1,N
IDCJAC0009,62100,2010,01,17,30.2,1,N
IDCJAC0009,62100,2010,01,18,0.0,1,N
IDCJAC0009,62100,2010,01,19,0.0,1,N
IDCJAC0009,62100,2010,01,20,0.0,1,N
IDCJAC0009,62100,2010,01,21,0.0,1,N
IDCJAC0009,62100,2010,01,22,0.0,1,N
IDCJAC0009,62100,2010,01,23,0.0,1,N
IDCJAC0009,62100,2010,01,24,0.2,1,N
IDCJAC0009,62100,2010,01,25,0.0,1,N
IDCJAC0009,62100,2010,01,26,5.8,1,N
IDCJAC0009,62100,2010,01,27,0.0,1,N
IDCJAC0009,62100,2010,01,28,34.4,1,N
IDCJAC0009,62100,2010,01,29,0.0,1,N
IDCJAC0009,62100,2010,01,30,0.8,1,N
IDCJAC0009,62100,2010,01,31,0.6,1,N
IDCJAC0009,62100,2010,02,01,3.4,1,N
IDCJAC0009,62100,2010,02,02,0.0,1,N
IDCJAC0009,62100,2010,02,03,9.6,1,N
IDCJAC0009,62100,2010,02,04,4.2,1,N
IDCJAC0009,62100,2010,02,05,1.8,1,N
IDCJAC0009,62100,2010,02,06,44.6,1,N
IDCJAC0009,62100,2010,02,07,22.8,1,N
IDCJAC0009,62100,2010,02,08,11.8,1,N
IDCJAC0009,62100,2010,02,09,0.0,1,N
