Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,79103,2010,01,01,19.4,1,Y
IDCJAC0010,79103,2010,01,02,12.8,1,Y
IDCJAC0010,79103,2010,01,03,13.6,1,Y
IDCJAC0010,79103,2010,01,04,20.8,1,Y
IDCJAC0010,79103,2010,01,05,21.8,1,Y
IDCJAC0010,79103,2010,01,06,19.4,1,Y
IDCJAC0010,79103,2010,01,07,22.9,1,Y
IDCJAC0010,79103,2010,01,08,28.6,1,Y
IDCJAC0010,79103,2010,01,09,32.6,1,Y
IDCJAC0010,79103,2010,01,10,33.5,1,Y
IDCJAC0010,79103,2010,01,11,35.3,1,Y
IDCJAC0010,79103,2010,01,12,18.4,1,Y
IDCJAC0010,79103,2010,01,13,12.4,1,Y
IDCJAC0010,79103,2010,01,14,15.5,1,Y
IDCJAC0010,79103,2010,01,15,23.9,1,Y
IDCJAC0010,79103,2010,01,16,19.9,1,Y
IDCJAC0010,79103,2010,01,17,11.1,1,Y
IDCJAC0010,79103,2010,01,18,10.8,1,Y
IDCJAC0010,79103,2010,01,19,15.7,1,Y
IDCJAC0010,79103,2010,01,20,21.4,1,Y
IDCJAC0010,79103,2010,01,21,24.8,1,Y
IDCJAC0010,79103,2010,01,22,28.5,1,Y
IDCJAC0010,79103,2010,01,23,16.2,1,Y
IDCJAC0010,79103,2010,01,24,19.6,1,Y
IDCJAC0010,79103,2010,01,25,23.6,1,Y
IDCJAC0010,79103,2010,01,26,22.3,1,Y
IDCJAC0010,79103,2010,01,27,17.7,1,Y
IDCJAC0010,79103,2010,01,28,22.5,1,Y
IDCJAC0010,79103,2010,01,29,15.4,1,Y
IDCJAC0010,79103,2010,01,30,26.8,1,Y
IDCJAC0010,79103,2010,01,31,30.7,1,Y
IDCJAC0010,79103,2010,02,01,21.1,1,Y
IDCJAC0010,79103,2010,02,02,30.0,1,Y
IDCJAC0010,79103,2010,02,03,27.8,1,Y
IDCJAC0010,79103,2010,02,04,16.3,1,Y
IDCJAC0010,79103,2010,02,05,13.2,1,Y
IDCJAC0010,79103,2010,02,06,17.8,1,Y
IDCJAC0010,79103,2010,02,07,26.3,1,Y
IDCJAC0010,79103,2010,02,08,27.8,1,Y
IDCJAC0010,79103,2010,02,09,28.6,1,Y
IDCJAC0010,79103,2010,02,10,30.5,1,Y
IDCJAC0010,79103,2010,02,11,20.0,1,Y
IDCJAC0010,79103,2010,02,12,13.4,1,Y
IDCJAC0010,79103,2010,02,13,16.5,1,Y
IDCJAC0010,79103,2010,02,14,16.4,1,Y
IDCJAC0010,79103,2010,02,15,16.0,1,Y
IDCJAC0010,79103,2010,02,16,20.0,1,Y
IDCJAC0010,79103,2010,02,17,18.9,1,Y
IDCJAC0010,79103,2010,02,18,18.6,1,Y
IDCJAC0010,79103,2010,02,19,25.0,1,Y
IDCJAC0010,79103,2010,02,20,26.3,1,Y
IDCJAC0010,79103,2010,02,21,22.0,1,Y
IDCJAC0010,79103,2010,02,22,16.6,1,Y
IDCJAC0010,79103,2010,02,23,15.2,1,Y
IDCJAC0010,79103,2010,02,24,16.0,1,Y
IDCJAC0010,79103,2010,02,25,24.0,1,Y
IDCJAC0010,79103,2010,02,26,25.7,1,Y
IDCJAC0010,79103,2010,02,27,15.5,1,Y
IDCJAC0010,79103,2010,02,28,10.4,1,Y
IDCJAC0010,79103,2010,03,01,11.6,1,Y
IDCJAC0010,79103,2010,03,02,14.8,1,Y
IDCJAC0010,79103,2010,03,03,23.6,1,Y
IDCJAC0010,79103,2010,03,04,23.0,1,Y
IDCJAC0010,79103,2010,03,05,16.0,1,Y
IDCJAC0010,79103,2010,03,06,14.6,1,Y
IDCJAC0010,79103,2010,03,07,13.1,1,Y
IDCJAC0010,79103,2010,03,08,11.3,1,Y
IDCJAC0010,79103,2010,03,09,9.0,1,Y
IDCJAC0010,79103,2010,03,10,8.8,1,Y
IDCJAC0010,79103,2010,03,11,12.2,1,Y
IDCJAC0010,79103,2010,03,12,19.0,1,Y
IDCJAC0010,79103,2010,03,13,20.0,1,Y
IDCJAC0010,79103,2010,03,14,20.1,1,Y
IDCJAC0010,79103,2010,03,15,22.5,1,Y
IDCJAC0010,79103,2010,03,16,24.2,1,Y
IDCJAC0010,79103,2010,03,17,26.6,1,Y
IDCJAC0010,79103,2010,03,18,22.7,1,Y
IDCJAC0010,79103,2010,03,19,16.6,1,Y
IDCJAC0010,79103,2010,03,20,17.4,1,Y
IDCJAC0010,79103,2010,03,21,14.7,1,Y
IDCJAC0010,79103,2010,03,22,14.8,1,Y
IDCJAC0010,79103,2010,03,23,18.4,1,Y
IDCJAC0010,79103,2010,03,24,19.5,1,Y
IDCJAC0010,79103,2010,03,25,22.7,1,Y
IDCJAC0010,79103,2010,03,26,19.0,1,Y
IDCJAC0010,79103,2010,03,27,19.6,1,Y
IDCJAC0010,79103,2010,03,28,19.1,1,Y
IDCJAC0010,79103,2010,03,29,14.2,1,Y
IDCJAC0010,79103,2010,03,30,11.5,1,Y
IDCJAC0010,79103,2010,03,31,15.6,1,Y
IDCJAC0010,79103,2010,04,01,12.4,1,Y
IDCJAC0010,79103,2010,04,02,8.9,1,Y
IDCJAC0010,79103,2010,04,03,10.9,1,Y
IDCJAC0010,79103,2010,04,04,17.1,1,Y
IDCJAC0010,79103,2010,04,05,18.3,1,Y
IDCJAC0010,79103,2010,04,06,14.7,1,Y
IDCJAC0010,79103,2010,04,07,11.1,1,Y
IDCJAC0010,79103,2010,04,08,11.4,1,Y
IDCJAC0010,79103,2010,04,09,11.2,1,Y
IDCJAC0010,79103,2010,04,10,11.0,1,Y
IDCJAC0010,79103,2010,04,11,6.5,1,Y
IDCJAC0010,79103,2010,04,12,7.4,1,Y
IDCJAC0010,79103,2010,04,13,11.6,1,Y
IDCJAC0010,79103,2010,04,14,8.6,1,Y
IDCJAC0010,79103,2010,04,15,12.6,1,Y
IDCJAC0010,79103,2010,04,16,14.5,1,Y
IDCJAC0010,79103,2010,04,17,18.0,1,Y
IDCJAC0010,79103,2010,04,18,16.0,1,Y
IDCJAC0010,79103,2010,04,19,16.8,1,Y
IDCJAC0010,79103,2010,04,20,19.7,1,Y
IDCJAC0010,79103,2010,04,21,18.9,1,Y
IDCJAC0010,79103,2010,04,22,19.7,1,Y
IDCJAC0010,79103,2010,04,23,15.5,1,Y
IDCJAC0010,79103,2010,04,24,8.8,1,Y
IDCJAC0010,79103,2010,04,25,8.9,1,Y
IDCJAC0010,79103,2010,04,26,10.5,1,Y
IDCJAC0010,79103,2010,04,27,7.3,1,Y
IDCJAC0010,79103,2010,04,28,8.7,1,Y
IDCJAC0010,79103,2010,04,29,7.2,1,Y
IDCJAC0010,79103,2010,04,30,8.0,1,Y
IDCJAC0010,79103,2010,05,01,12.8,1,Y
IDCJAC0010,79103,2010,05,02,10.7,1,Y
IDCJAC0010,79103,2010,05,03,12.6,1,Y
IDCJAC0010,79103,2010,05,04,9.5,1,Y
IDCJAC0010,79103,2010,05,05,6.0,1,Y
IDCJAC0010,79103,2010,05,06,7.7,1,Y
IDCJAC0010,79103,2010,05,07,10.1,1,Y
IDCJAC0010,79103,2010,05,08,10.2,1,Y
IDCJAC0010,79103,2010,05,09,12.0,1,Y
