Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,33195,2010,01,01,29.6,1,Y
IDCJAC0010,33195,2010,01,02,30.3,1,Y
IDCJAC0010,33195,2010,01,03,31.5,1,Y
IDCJAC0010,33195,2010,01,04,31.1,1,Y
IDCJAC0010,33195,2010,01,05,32.4,1,Y
IDCJAC0010,33195,2010,01,06,30.6,1,Y
IDCJAC0010,33195,2010,01,07,27.3,1,Y
IDCJAC0010,33195,2010,01,08,27.6,1,Y
IDCJAC0010,33195,2010,01,09,29.6,1,Y
IDCJAC0010,33195,2010,01,10,30.6,1,Y
IDCJAC0010,33195,2010,01,11,31.2,1,Y
IDCJAC0010,33195,2010,01,12,31.4,1,Y
IDCJAC0010,33195,2010,01,13,31.6,1,Y
IDCJAC0010,33195,2010,01,14,32.5,1,Y
IDCJAC0010,33195,2010,01,15,31.0,1,Y
IDCJAC0010,33195,2010,01,16,31.4,1,Y
IDCJAC0010,33195,2010,01,17,32.2,1,Y
IDCJAC0010,33195,2010,01,18,32.4,1,Y
IDCJAC0010,33195,2010,01,19,34.4,1,Y
IDCJAC0010,33195,2010,01,20,33.3,1,Y
IDCJAC0010,33195,2010,01,21,32.5,1,Y
IDCJAC0010,33195,2010,01,22,31.6,1,Y
IDCJAC0010,33195,2010,01,23,32.0,1,Y
IDCJAC0010,33195,2010,01,24,30.0,1,Y
IDCJAC0010,33195,2010,01,25,28.6,1,Y
IDCJAC0010,33195,2010,01,26,30.4,1,Y
IDCJAC0010,33195,2010,01,27,30.9,1,Y
IDCJAC0010,33195,2010,01,28,29.8,1,Y
IDCJAC0010,33195,2010,01,29,30.9,1,Y
IDCJAC0010,33195,2010,01,30,29.9,1,Y
IDCJAC0010,33195,2010,01,31,26.4,1,Y
IDCJAC0010,33195,2010,02,01,31.3,1,Y
IDCJAC0010,33195,2010,02,02,31.5,1,Y
IDCJAC0010,33195,2010,02,03,27.0,1,Y
IDCJAC0010,33195,2010,02,04,30.0,1,Y
IDCJAC0010,33195,2010,02,05,30.9,1,Y
IDCJAC0010,33195,2010,02,06,30.0,1,Y
IDCJAC0010,33195,2010,02,07,31.6,1,Y
IDCJAC0010,33195,2010,02,08,29.3,1,Y
IDCJAC0010,33195,2010,02,09,30.5,1,Y
IDCJAC0010,33195,2010,02,10,28.8,1,Y
IDCJAC0010,33195,2010,02,11,30.8,1,Y
IDCJAC0010,33195,2010,02,12,31.1,1,Y
IDCJAC0010,33195,2010,02,13,30.9,1,Y
IDCJAC0010,33195,2010,02,14,31.0,1,Y
IDCJAC0010,33195,2010,02,15,31.1,1,Y
IDCJAC0010,33195,2010,02,16,31.3,1,Y
IDCJAC0010,33195,2010,02,17,26.9,1,Y
IDCJAC0010,33195,2010,02,18,27.9,1,Y
IDCJAC0010,33195,2010,02,19,25.5,1,Y
IDCJAC0010,33195,2010,02,20,28.8,1,Y
IDCJAC0010,33195,2010,02,21,31.4,1,Y
IDCJAC0010,33195,2010,02,22,31.4,1,Y
IDCJAC0010,33195,2010,02,23,31.7,1,Y
IDCJAC0010,33195,2010,02,24,33.5,1,Y
IDCJAC0010,33195,2010,02,25,30.3,1,Y
IDCJAC0010,33195,2010,02,26,29.2,1,Y
IDCJAC0010,33195,2010,02,27,30.3,1,Y
IDCJAC0010,33195,2010,02,28,30.7,1,Y
IDCJAC0010,33195,2010,03,01,30.5,1,Y
IDCJAC0010,33195,2010,03,02,31.0,1,Y
