Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,14932,2010,01,01,34.2,1,Y
IDCJAC0010,14932,2010,01,02,31.4,1,Y
IDCJAC0010,14932,2010,01,03,31.1,1,Y
IDCJAC0010,14932,2010,01,04,30.2,1,Y
IDCJAC0010,14932,2010,01,05,28.8,1,Y
IDCJAC0010,14932,2010,01,06,33.2,1,Y
IDCJAC0010,14932,2010,01,07,,,
IDCJAC0010,14932,2010,01,08,,,
IDCJAC0010,14932,2010,01,09,34.3,1,Y
IDCJAC0010,14932,2010,01,10,34.0,1,Y
IDCJAC0010,14932,2010,01,11,33.3,1,Y
IDCJAC0010,14932,2010,01,12,32.6,1,Y
IDCJAC0010,14932,2010,01,13,33.2,1,Y
IDCJAC0010,14932,2010,01,14,34.0,1,Y
IDCJAC0010,14932,2010,01,15,34.7,1,Y
IDCJAC0010,14932,2010,01,16,35.2,1,Y
IDCJAC0010,14932,2010,01,17,35.2,1,Y
IDCJAC0010,14932,2010,01,18,34.0,1,Y
IDCJAC0010,14932,2010,01,19,35.6,1,Y
IDCJAC0010,14932,2010,01,20,35.8,1,Y
IDCJAC0010,14932,2010,01,21,35.5,1,Y
IDCJAC0010,14932,2010,01,22,35.0,1,Y
IDCJAC0010,14932,2010,01,23,35.6,1,Y
IDCJAC0010,14932,2010,01,24,35.5,1,Y
IDCJAC0010,14932,2010,01,25,34.3,1,Y
IDCJAC0010,14932,2010,01,26,35.2,1,Y
IDCJAC0010,14932,2010,01,27,34.7,1,Y
IDCJAC0010,14932,2010,01,28,26.6,1,Y
IDCJAC0010,14932,2010,01,29,33.2,1,Y
IDCJAC0010,14932,2010,01,30,32.4,1,Y
IDCJAC0010,14932,2010,01,31,33.7,1,Y
IDCJAC0010,14932,2010,02,01,35.0,1,Y
IDCJAC0010,14932,2010,02,02,35.0,1,Y
IDCJAC0010,14932,2010,02,03,34.8,1,Y
IDCJAC0010,14932,2010,02,04,34.2,1,Y
IDCJAC0010,14932,2010,02,05,35.6,1,Y
IDCJAC0010,14932,2010,02,06,36.6,1,Y
IDCJAC0010,14932,2010,02,07,36.7,1,Y
IDCJAC0010,14932,2010,02,08,36.7,1,Y
IDCJAC0010,14932,2010,02,09,37.5,1,Y
IDCJAC0010,14932,2010,02,10,36.9,1,Y
IDCJAC0010,14932,2010,02,11,35.4,1,Y
IDCJAC0010,14932,2010,02,12,34.4,1,Y
IDCJAC0010,14932,2010,02,13,32.6,1,Y
IDCJAC0010,14932,2010,02,14,35.3,1,Y
IDCJAC0010,14932,2010,02,15,33.8,1,Y
IDCJAC0010,14932,2010,02,16,34.9,1,Y
IDCJAC0010,14932,2010,02,17,35.8,1,Y
IDCJAC0010,14932,2010,02,18,33.4,1,Y
IDCJAC0010,14932,2010,02,19,34.4,1,Y
IDCJAC0010,14932,2010,02,20,36.1,1,Y
IDCJAC0010,14932,2010,02,21,35.1,1,Y
IDCJAC0010,14932,2010,02,22,34.9,1,Y
IDCJAC0010,14932,2010,02,23,32.7,1,Y
IDCJAC0010,14932,2010,02,24,33.6,1,Y
IDCJAC0010,14932,2010,02,25,32.5,1,Y
IDCJAC0010,14932,2010,02,26,28.5,1,Y
IDCJAC0010,14932,2010,02,27,30.8,1,Y
IDCJAC0010,14932,2010,02,28,30.1,1,Y
