Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,14932,2010,01,01,12.0,1,N
IDCJAC0009,14932,2010,01,02,14.8,1,N
IDCJAC0009,14932,2010,01,03,,,
IDCJAC0009,14932,2010,01,04,12.8,1,N
IDCJAC0009,14932,2010,01,05,2.8,1,N
IDCJAC0009,14932,2010,01,06,1.6,1,N
IDCJAC0009,14932,2010,01,07,0.2,1,N
IDCJAC0009,14932,2010,01,08,,,
IDCJAC0009,14932,2010,01,09,,,
IDCJAC0009,14932,2010,01,10,1.0,1,N
IDCJAC0009,14932,2010,01,11,0.6,1,N
IDCJAC0009,14932,2010,01,12,42.2,1,N
IDCJAC0009,14932,2010,01,13,29.2,1,N
IDCJAC0009,14932,2010,01,14,,,
IDCJAC0009,14932,2010,01,15,0.2,1,N
IDCJAC0009,14932,2010,01,16,9.0,1,N
IDCJAC0009,14932,2010,01,17,0.0,1,N
IDCJAC0009,14932,2010,01,18,0.0,1,N
IDCJAC0009,14932,2010,01,19,0.0,1,N
IDCJAC0009,14932,2010,01,20,0.0,1,N
IDCJAC0009,14932,2010,01,21,0.0,1,N
IDCJAC0009,14932,2010,01,22,0.0,1,N
IDCJAC0009,14932,2010,01,23,,,
IDCJAC0009,14932,2010,01,24,0.0,1,N
IDCJAC0009,14932,2010,01,25,56.0,1,N
IDCJAC0009,14932,2010,01,26,0.0,1,N
IDCJAC0009,14932,2010,01,27,0.0,1,N
IDCJAC0009,14932,2010,01,28,,,
IDCJAC0009,14932,2010,01,29,125.0,1,N
IDCJAC0009,14932,2010,01,30,3.8,1,N
IDCJAC0009,14932,2010,01,31,4.2,1,N
IDCJAC0009,14932,2010,02,01,4.2,1,N
IDCJAC0009,14932,2010,02,02,1.0,1,N
IDCJAC0009,14932,2010,02,03,6.4,1,N
IDCJAC0009,14932,2010,02,04,0.0,1,N
IDCJAC0009,14932,2010,02,05,0.0,1,N
IDCJAC0009,14932,2010,02,06,0.0,1,N
IDCJAC0009,14932,2010,02,07,0.0,1,N
IDCJAC0009,14932,2010,02,08,0.0,1,N
IDCJAC0009,14932,2010,02,09,0.0,1,N
IDCJAC0009,14932,2010,02,10,0.0,1,N
IDCJAC0009,14932,2010,02,11,,,
IDCJAC0009,14932,2010,02,12,0.0,1,N
IDCJAC0009,14932,2010,02,13,0.0,1,N
IDCJAC0009,14932,2010,02,14,2.2,1,N
IDCJAC0009,14932,2010,02,15,4.6,1,N
IDCJAC0009,14932,2010,02,16,41.2,1,N
IDCJAC0009,14932,2010,02,17,0.0,1,N
IDCJAC0009,14932,2010,02,18,0.0,1,N
IDCJAC0009,14932,2010,02,19,0.0,1,N
IDCJAC0009,14932,2010,02,20,0.0,1,N
IDCJAC0009,14932,2010,02,21,2.4,1,N
IDCJAC0009,14932,2010,02,22,4.4,1,N
IDCJAC0009,14932,2010,02,23,,,
IDCJAC0009,14932,2010,02,24,5.2,1,N
IDCJAC0009,14932,2010,02,25,2.0,1,N
IDCJAC0009,14932,2010,02,26,22.2,1,N
IDCJAC0009,14932,2010,02,27,29.2,1,N
IDCJAC0009,14932,2010,02,28,,,
IDCJAC0009,14932,2010,03,01,30.6,1,N
IDCJAC0009,14932,2010,03,02,12.0,1,N
IDCJAC0009,14932,2010,03,03,,,
IDCJAC0009,14932,2010,03,04,0.0,1,N
IDCJAC0009,14932,2010,03,05,0.0,1,N
IDCJAC0009,14932,2010,03,06,0.0,1,N
IDCJAC0009,14932,2010,03,07,0.0,1,N
IDCJAC0009,14932,2010,03,08,0.0,1,N
IDCJAC0009,14932,2010,03,09,0.6,1,N
IDCJAC0009,14932,2010,03,10,0.0,1,N
IDCJAC0009,14932,2010,03,11,0.0,1,N
IDCJAC0009,14932,2010,03,12,0.0,1,N
IDCJAC0009,14932,2010,03,13,0.0,1,N
IDCJAC0009,14932,2010,03,14,0.0,1,N
IDCJAC0009,14932,2010,03,15,0.0,1,N
IDCJAC0009,14932,2010,03,16,0.0,1,N
IDCJAC0009,14932,2010,03,17,0.0,1,N
IDCJAC0009,14932,2010,03,18,0.0,1,N
IDCJAC0009,14932,2010,03,19,0.0,1,N
IDCJAC0009,14932,2010,03,20,0.0,1,N
IDCJAC0009,14932,2010,03,21,0.0,1,N
IDCJAC0009,14932,2010,03,22,0.0,1,N
IDCJAC0009,14932,2010,03,23,0.0,1,N
IDCJAC0009,14932,2010,03,24,0.0,1,N
IDCJAC0009,14932,2010,03,25,13.2,1,N
IDCJAC0009,14932,2010,03,26,11.2,1,N
IDCJAC0009,14932,2010,03,27,0.0,1,N
IDCJAC0009,14932,2010,03,28,2.6,1,N
IDCJAC0009,14932,2010,03,29,0.0,1,N
IDCJAC0009,14932,2010,03,30,2.4,1,N
IDCJAC0009,14932,2010,03,31,1.2,1,N
IDCJAC0009,14932,2010,04,01,,,
IDCJAC0009,14932,2010,04,02,0.0,1,N
IDCJAC0009,14932,2010,04,03,0.0,1,N
IDCJAC0009,14932,2010,04,04,0.0,1,N
IDCJAC0009,14932,2010,04,05,0.0,1,N
IDCJAC0009,14932,2010,04,06,0.0,1,N
IDCJAC0009,14932,2010,04,07,0.0,1,N
IDCJAC0009,14932,2010,04,08,0.0,1,N
IDCJAC0009,14932,2010,04,09,0.0,1,N
IDCJAC0009,14932,2010,04,10,0.6,1,N
IDCJAC0009,14932,2010,04,11,0.0,1,N
IDCJAC0009,14932,2010,04,12,0.0,1,N
IDCJAC0009,14932,2010,04,13,47.4,1,N
IDCJAC0009,14932,2010,04,14,3.4,1,N
IDCJAC0009,14932,2010,04,15,,,
IDCJAC0009,14932,2010,04,16,0.4,1,N
IDCJAC0009,14932,2010,04,17,0.0,1,N
IDCJAC0009,14932,2010,04,18,14.2,1,N
IDCJAC0009,14932,2010,04,19,0.0,1,N
IDCJAC0009,14932,2010,04,20,0.0,1,N
IDCJAC0009,14932,2010,04,21,0.0,1,N
IDCJAC0009,14932,2010,04,22,0.0,1,N
IDCJAC0009,14932,2010,04,23,0.0,1,N
IDCJAC0009,14932,2010,04,24,0.0,1,N
IDCJAC0009,14932,2010,04,25,0.0,1,N
IDCJAC0009,14932,2010,04,26,13.4,1,N
IDCJAC0009,14932,2010,04,27,20.4,1,N
IDCJAC0009,14932,2010,04,28,0.2,1,N
IDCJAC0009,14932,2010,04,29,0.0,1,N
IDCJAC0009,14932,2010,04,30,0.0,1,N
IDCJAC0009,14932,2010,05,01,0.0,1,N
IDCJAC0009,14932,2010,05,02,0.0,1,N
IDCJAC0009,14932,2010,05,03,0.0,1,N
IDCJAC0009,14932,2010,05,04,0.0,1,N
IDCJAC0009,14932,2010,05,05,0.0,1,N
IDCJAC0009,14932,2010,05,06,0.0,1,N
IDCJAC0009,14932,2010,05,07,0.0,1,N
IDCJAC0009,14932,2010,05,08,0.0,1,N
IDCJAC0009,14932,2010,05,09,0.0,1,N
IDCJAC0009,14932,2010,05,10,0.0,1,N
IDCJAC0009,14932,2010,05,11,0.0,1,N
IDCJAC0009,14932,2010,05,12,0.0,1,N
IDCJAC0009,14932,2010,05,13,0.0,1,N
IDCJAC0009,14932,2010,05,14,0.0,1,N
IDCJAC0009,14932,2010,05,15,0.0,1,N
IDCJAC0009,14932,2010,05,16,0.0,1,N
IDCJAC0009,14932,2010,05,17,0.4,1,N
IDCJAC0009,14932,2010,05,18,0.0,1,N
IDCJAC0009,14932,2010,05,19,0.0,1,N
IDCJAC0009,14932,2010,05,20,0.0,1,N
IDCJAC0009,14932,2010,05,21,0.2,1,N
IDCJAC0009,14932,2010,05,22,1.2,1,N
IDCJAC0009,14932,2010,05,23,0.0,1,N
IDCJAC0009,14932,2010,05,24,0.2,1,N
IDCJAC0009,14932,2010,05,25,0.0,1,N
IDCJAC0009,14932,2010,05,26,0.0,1,N
IDCJAC0009,14932,2010,05,27,0.0,1,N
IDCJAC0009,14932,2010,05,28,4.0,1,N
IDCJAC0009,14932,2010,05,29,3.0,1,N
IDCJAC0009,14932,2010,05,30,0.0,1,N
IDCJAC0009,14932,2010,05,31,0.0,1,N
IDCJAC0009,14932,2010,06,01,0.0,1,N
IDCJAC0009,14932,2010,06,02,0.0,1,N
IDCJAC0009,14932,2010,06,03,0.0,1,N
IDCJAC0009,14932,2010,06,04,0.0,1,N
IDCJAC0009,14932,2010,06,05,0.0,1,N
IDCJAC0009,14932,2010,06,06,0.0,1,N
IDCJAC0009,14932,2010,06,07,0.0,1,N
IDCJAC0009,14932,2010,06,08,0.0,1,N
IDCJAC0009,14932,2010,06,09,0.0,1,N
IDCJAC0009,14932,2010,06,10,,,
IDCJAC0009,14932,2010,06,11,0.0,1,N
IDCJAC0009,14932,2010,06,12,0.0,1,N
IDCJAC0009,14932,2010,06,13,0.0,1,N
IDCJAC0009,14932,2010,06,14,0.0,1,N
IDCJAC0009,14932,2010,06,15,0.0,1,N
IDCJAC0009,14932,2010,06,16,0.0,1,N
IDCJAC0009,14932,2010,06,17,0.0,1,N
IDCJAC0009,14932,2010,06,18,0.0,1,N
IDCJAC0009,14932,2010,06,19,,,
IDCJAC0009,14932,2010,06,20,,,
IDCJAC0009,14932,2010,06,21,,,
IDCJAC0009,14932,2010,06,22,,,
IDCJAC0009,14932,2010,06,23,,,
IDCJAC0009,14932,2010,06,24,,,
IDCJAC0009,14932,2010,06,25,0.0,1,N
IDCJAC0009,14932,2010,06,26,0.0,1,N
IDCJAC0009,14932,2010,06,27,0.0,1,N
IDCJAC0009,14932,2010,06,28,0.0,1,N
IDCJAC0009,14932,2010,06,29,0.0,1,N
IDCJAC0009,14932,2010,06,30,0.0,1,N
IDCJAC0009,14932,2010,07,01,0.0,1,N
IDCJAC0009,14932,2010,07,02,0.0,1,N
IDCJAC0009,14932,2010,07,03,,,
IDCJAC0009,14932,2010,07,04,0.0,1,N
IDCJAC0009,14932,2010,07,05,0.0,1,N
IDCJAC0009,14932,2010,07,06,0.0,1,N
IDCJAC0009,14932,2010,07,07,0.0,1,N
IDCJAC0009,14932,2010,07,08,,,
IDCJAC0009,14932,2010,07,09,0.0,1,N
IDCJAC0009,14932,2010,07,10,0.0,1,N
IDCJAC0009,14932,2010,07,11,0.0,1,N
IDCJAC0009,14932,2010,07,12,0.0,1,N
IDCJAC0009,14932,2010,07,13,0.0,1,N
IDCJAC0009,14932,2010,07,14,0.0,1,N
IDCJAC0009,14932,2010,07,15,0.0,1,N
IDCJAC0009,14932,2010,07,16,0.0,1,N
IDCJAC0009,14932,2010,07,17,0.0,1,N
IDCJAC0009,14932,2010,07,18,0.0,1,N
IDCJAC0009,14932,2010,07,19,0.0,1,N
IDCJAC0009,14932,2010,07,20,0.0,1,N
